Headline,Publication,Summary,Date
Hieraan geeft de provincie volgend jaar haar geld uit,"AD/Algemeen Dagblad.nl, 836 words",,26/9/2019
Hoogleraar: ‘Minder Natura 2000-gebieden? Laat Nederland eerst de doelen eindelijk eens halen’,"De Volkskrant.nl, 758 words",,26/9/2019
"Den Bosch moet miljoenen gaan bezuinigen, woonlasten stijgen met vijf tot acht procent","AD/Algemeen Dagblad.nl, 635 words",,27/9/2019
"Red geen projecten, zorg dat de natuur vooruitgaat'","de Volkskrant, Ten Eerste; Blz. 6, 714 words",,27/9/2019
230W. Woudenberg gaat jaarlijks 278.000 euro besparen,"AD/Algemeen Dagblad.nl, 239 words",,30/9/2019
"Straatarm De Bilt gaat bezuinigen op armoedebeleid, groenonderhoud en duurzaamheid","AD/Algemeen Dagblad.nl, 487 words",,4/10/2019
Nieuwbouw Kompaslocatie Etten-Leur: 43 appartementen en ruimte voor jongeren met autisme,"AD/Algemeen Dagblad.nl, 208 words",,10/10/2019
Extraatje van het Rijk bezorgt Halderberge toch een positieve meerjarenbegroting,"AD/Algemeen Dagblad.nl, 483 words",,10/10/2019
Wijk- en dorpsraden in Breda: hoe zit met de inspraak?,"AD/Algemeen Dagblad.nl, 160 words",,11/10/2019
Hier schrijven we Nederlands,"AD/Algemeen Dagblad.nl, 437 words",,23/10/2019
Kabinet vindt eigen communicatie lastig te snappen: 100 taalexperts ingezet,"AD/Algemeen Dagblad.nl, 429 words",,23/10/2019
Oproep tot terugdringen groei 'distributiedozen',"NRC.NEXT, ECONOMIE; Blz. 5, 717 words",,29/10/2019
Oproep tot terugdringen groei 'distributiedozen',"NRC Handelsblad, ECONOMIE; Blz. 5, 718 words",,29/10/2019
Rozendaal gaat volle schatkist deels aanwenden voor de energietransitie,"AD/Algemeen Dagblad.nl, 460 words",,6/11/2019
Gezocht voor bouwprojecten: natuurkenners in Overijssel,"AD/Algemeen Dagblad.nl, 621 words",,15/11/2019
"Over een speeltuin meepraten is leuk, maar over windmolens of arbeidsmigranten?","AD/Algemeen Dagblad.nl, 1176 words",,15/11/2019
Planten geven licht in park,"De Telegraaf, REGIO; Blz. 14, 271 words",,19/11/2019
Omgevingsvisie Eindhoven biedt veel uitdagingen,"AD/Algemeen Dagblad.nl, 488 words",,20/11/2019
"Dankzij deze proef kan een dakkapel, schutting of schuurtje sneller aan of op het eigen huis","AD/Algemeen Dagblad.nl, 397 words",,21/11/2019
Acht jaar geen bescherming voor woningen Helkantsedijk: ‘Ontwikkelingen zijn onomkeerbaar’,"AD/Algemeen Dagblad.nl, 567 words",,24/11/2019
Poeldijkers maken zich grote zorgen over voormalig Dario-Fo gebouw in de Voorstraat,"AD/Algemeen Dagblad.nl, 506 words",,26/11/2019
Omgevingswet:'bureaucratisch wonder' zwaar onder vuur Decentralisatie,"NRC Handelsblad, IN HET NIEUWS; Blz. 4, 1388 words",,28/11/2019
Omgevingswet:'bureaucratisch wonder' zwaar onder vuur Decentralisatie,"NRC.NEXT, IN HET NIEUWS; Blz. 4, 1396 words",,28/11/2019
Megawet dreigt te stranden,"NRC.NEXT, COVER; Blz. 1, 478 words",,28/11/2019
Botsende belangen bijeen ambitieuze visie,"NRC.NEXT, IN HET NIEUWS; Blz. 4, 781 words",,28/11/2019
Botsende belangen bijeen ambitieuze visie,"NRC Handelsblad, IN HET NIEUWS; Blz. 4, 777 words",,28/11/2019
