Headline,Publication,Summary,Date
Honderden gemeenten dreigen te staken als Rijk niet bijspringt,"NRC Handelsblad, VOORPAGINA; Blz. 1, 764 words",,18/6/2021
Honderden gemeenten dreigen te staken als Rijk niet bijspringt,"NRC, VOORPAGINA; Blz. 1, 764 words",,18/6/2021
"Met 3-0 achter, maar Hengelose krakers behalen alsnog klinkende overwinning","AD/Algemeen Dagblad.nl, 804 words",,18/6/2021
Met camera en vragenlijst dromen over het ideale Zundert van de toekomst,"AD/Algemeen Dagblad.nl, 377 words",,22/6/2021
Helmondse gemeenteraad wil een eigen spaarvarken om trainingen en advies mee te kunnen betalen: ‘Je gaat in het eerste jaar op je bek’,"AD/Algemeen Dagblad.nl, 464 words",,23/6/2021
‘Incongruente lappendeken’ in het regionaal bestuur,"NRC.nl, 584 words",,23/6/2021
Boxtel pakt draad duurzaamrbedrijventerrein weer op,"AD/Algemeen Dagblad.nl, 399 words",,24/6/2021
Incongruente lappendeken' in het regionaal bestuur,"NRC, IN HET NIEUWS; Blz. 2, 609 words",,24/6/2021
Incongruente lappendeken' in het regionaal bestuur,"NRC Handelsblad, IN HET NIEUWS; Blz. 2, 609 words",,24/6/2021
Boxtel pakt draad van Greentech Park weer op,"AD/Algemeen Dagblad.nl, 413 words",,25/6/2021
Hoe interesseer je de mensen voor zoiets saais als de Omgevingsvisie?,"AD/Algemeen Dagblad.nl, 442 words",,28/6/2021
Opluchting aan Adelaarplein in Helmond ; flats gaan niet tegen de grond maar krijgen opknapbeurt,"AD/Algemeen Dagblad.nl, 537 words",,1/7/2021
Bouw huizen bij Schiphol' Sijas Akkerman,"De Telegraaf, FINANCIEEL; Blz. 26, 761 words",,2/7/2021
Tijdelijk contract supervisor Winy Maas is nog niet geregeld in Eindhovense soap,"AD/Algemeen Dagblad.nl, 886 words",,2/7/2021
Bouwstop voor Rubberbedrijf Doornberg na illegale activiteiten op nieuwe plek in Enschede,"AD/Algemeen Dagblad.nl, 503 words",,3/7/2021
"Eén nieuw zwembad voor Vlaardingen en Schiedam? Ja, zegt De Kulk: ‘Emoties aan de kant zetten’","AD/Algemeen Dagblad.nl, 622 words",,6/7/2021
In Oldenzaal wordt een apk voor huizen getest; toezicht van gemeente naar de bouwer,"AD/Algemeen Dagblad.nl, 627 words",,14/7/2021
"Loon op Zand blijft zelfstandig, in ieder geval voorlopig: ‘Over 2,5 jaar gaan we evalueren’","AD/Algemeen Dagblad.nl, 457 words",,15/7/2021
Jongere volksvertegenwoordigers dan Jeroen (19) uit Breda vind je niet: ‘Ik wil mijn generatie een stem geven’,"AD/Algemeen Dagblad.nl, 291 words",,16/7/2021
"Raamwerk Omgevingsvisie staat, nu nog de financiële invulling","AD/Algemeen Dagblad.nl, 301 words",,17/7/2021
Miljoenentekort bij grondaankoop Markdal en bouw proefboerderij: provincie schiet te hulp,"AD/Algemeen Dagblad.nl, 467 words",,17/7/2021
Mag tankstation de Heikant in Drunen zonder vergunning een wasserette plaatsen?,"AD/Algemeen Dagblad.nl, 343 words",,21/7/2021
Tot B&B verbouwde schaftkeet mag voorlopig blijven in Kamper achtertuin: nieuwe wetgeving op komst,"AD/Algemeen Dagblad.nl, 305 words",,22/7/2021
Wethouder Pieter van Dieperbeek van Bernheze tijdelijk afwezig,"AD/Algemeen Dagblad.nl, 121 words",,4/8/2021
Lopen Helmondse bouwplannen vertraging op omdat de deskundigen die ze moeten toetsen zijn opgestapt?,"AD/Algemeen Dagblad.nl, 498 words",,7/8/2021
"Wijkclubs Zwolle bundelen krachten: geef inwoners meer invloed, anders streep door ontwikkelingen in de stad","AD/Algemeen Dagblad.nl, 1221 words",,7/8/2021
Ons land verdient beter omgevingsbeleid,"De Volkskrant.nl, 748 words",,8/8/2021
We verdienen beter omgevingsbeleid,"de Volkskrant, Opinie en Debat; Blz. 21, 252 words",,9/8/2021
Meetpunt uit Wuhan moet kwaliteit van Boxtelse lucht in kaart gaan brengen,"AD/Algemeen Dagblad.nl, 426 words",,18/8/2021
"Gemeenten goochelen met bouwleges 'Verdienen aan vergunningen mag niet, maar jekunt wel schuiven met de kosten'","De Telegraaf, FINANCIEEL; Blz. 20, 521 words",,24/8/2021
Zoveel stijgen de vergunningskosten voor verbouwingen aan huis per gemeente,"AD/Algemeen Dagblad.nl, 697 words",,24/8/2021
Gemeenten Deventer en Zwolle halen bijna 8 miljoen euro aan bouwleges op: ‘Nodig om kosten te dekken’,"AD/Algemeen Dagblad.nl, 671 words",,26/8/2021
Gemeenten vragen in brandbrief om wetswijziging voor meer instrumenten in strijd tegen ongezond eten,"AD/Algemeen Dagblad.nl, 1010 words",,2/9/2021
Bouwen of verbouwen? In deze gemeente betaal je het meest voor je vergunning (en hier het minst),"AD/Algemeen Dagblad.nl, 691 words",,8/9/2021
Hoe ziet Waalres leefomgeving er in 2040 uit?,"AD/Algemeen Dagblad.nl, 437 words",,8/9/2021
‘We hebben de komende tijd heel veel appartementen op stapel staan’,"AD/Algemeen Dagblad.nl, 426 words",,21/9/2021
"Ruben van de Belt leidt kandidatenlijst ChristenUnie Zwolle, Gerdien Rots beoogd wethouder","AD/Algemeen Dagblad.nl, 277 words",,24/9/2021
Montfoort in financiële problemen; provincie blijft verscherpt toezicht houden op gemeente,"AD/Algemeen Dagblad.nl, 343 words",,24/9/2021
"Expositie in Groot Duijfhuis in Liempde , asfalteren is het ergste wat een zandpad kan overkomenr","AD/Algemeen Dagblad.nl, 460 words",,27/9/2021
Een miljoen over en toch de hand op de knip in Goirle,"AD/Algemeen Dagblad.nl, 515 words",,28/9/2021
Raadsleden hebben nog amper invloed op bouwplannen in Breda,"AD/Algemeen Dagblad.nl, 355 words",,30/9/2021
"Loon op Zand kruipt uit financieel dal: ‘Bezuinigen is niet nodig, maar we moeten wel rustig aan doen’","AD/Algemeen Dagblad.nl, 543 words",,6/10/2021
"MijnGemeenteDichtbij piept en kraakt: 2,5 miljoen extra nodig","AD/Algemeen Dagblad.nl, 514 words",,12/10/2021
Nieuwe politieke partij in Loon op Zand wil inwoner een helder beeld geven: ‘wat komt er op ons af?,"AD/Algemeen Dagblad.nl, 470 words",,14/10/2021
Gemeente is op het randje van overwerkt door corona,"AD/Algemeen Dagblad.nl, 595 words",,14/10/2021
"Dit zijn de lijsttrekkers voor de verkiezingen van de VVD, GroenLinks en ChristenUnie in Amersfoort","AD/Algemeen Dagblad.nl, 328 words",,15/10/2021
"Burgemeester Jorritsma van Eindhoven: ‘We zijn een verwend land, dat ‘gij zult’ niet accepteert’","De Volkskrant.nl, 2728 words",,22/10/2021
We zijn verwend en accepteren 'gij zult' niet meer,"de Volkskrant, Zaterdag; Blz. 2, 3, 4, 2688 words",,23/10/2021
Met septembercirculaires win je geen stemmen,"AD/Algemeen Dagblad.nl, 392 words",,24/10/2021
Huisje voor oma stuit op obstakels: ‘Wetgeving werkt mantelzorgers vaak tegen’,"AD/Algemeen Dagblad.nl, 735 words",,25/10/2021
Bunniker Jorrit-Jan Eijbersen voorgedragen als burgemeester van Hellendoorn,"AD/Algemeen Dagblad.nl, 322 words",,28/10/2021
Een mantelzorgwoning achter in de tuin: ‘We zijn erg gehecht aan deze locatie’,"AD/Algemeen Dagblad.nl, 500 words",,28/10/2021
"Onbekend maakt Mark en Jan Jaap niet onbemind, integendeel: ‘We zijn onmisbare duizendpoten’","AD/Algemeen Dagblad.nl, 763 words",,2/11/2021
"Minder vrachtverkeer, meer groen en nieuwe dorpshuizen: dit zijn de wensen voor Halderberge in 2022r","AD/Algemeen Dagblad.nl, 511 words",,5/11/2021
Verkeerslawaai in Sint-Michielsgestel : ‘Het was alsof de auto’s door de kamer reden’,"AD/Algemeen Dagblad.nl, 791 words",,5/11/2021
Groei Schiphol wint van wooncrisis: ‘70.000 huizen kunnen niet worden gebouwd’,"AD/Algemeen Dagblad.nl, 845 words",,5/11/2021
"Lelijke stad? Zoetermeer is veel te bescheiden, zegt de nieuwe stadsbouwmeester","AD/Algemeen Dagblad.nl, 1004 words",,7/11/2021
"Volop ‘shoppen’ in de Roosendaalse begroting, toch dikke portemonnee voor nieuwe raad: ‘Netjes gedaan’","AD/Algemeen Dagblad.nl, 469 words",,13/11/2021
Bouwplannen strijden om voorrang in Valkenswaard: gemeente moet keuzes maken,"AD/Algemeen Dagblad.nl, 481 words",,16/11/2021
Nieuwkoop krijgt nieuwe woonwijk: hier worden straks 230 huizen gebouwd,"AD/Algemeen Dagblad.nl, 622 words",,16/11/2021
Tim van het Hof went als wethouder in Breda: ‘Opeens waren alle telefoontjes voor mij bestemd’,"AD/Algemeen Dagblad.nl, 746 words",,16/11/2021
"‘Knip’ in Vestdijk lijkt helemaal van de baan, omwonenden balen: 'Zonder knip geen gezellige groene stadsboulevard’","AD/Algemeen Dagblad.nl, 961 words",,16/11/2021
Is er in Nederland straks nog genoeg beton om al die huizen te bouwen?,"NRC.nl, 1710 words",,24/11/2021
Is er straks nog genoeg beton voor al die huizen? Is er beton voor al die nieuwe huizen? Nieuwbouw Is er wel genoeg beton voor alle ambities? De verlening van nieuwe vergunningen voor zand- en grindwinning dreigt spaak te lopen.,"NRC Handelsblad, VOORPAGINA; Blz. 1, 1443 words",,25/11/2021
Is er straks nog genoeg beton voor al die huizen? Is er beton voor al die nieuwe huizen? Nieuwbouw Is er wel genoeg beton voor alle ambities? De verlening van nieuwe vergunningen voor zand- en grindwinning dreigt spaak te lopen.,"NRC, VOORPAGINA; Blz. 1, 1453 words",,25/11/2021
"Harde keuzes door personeelstekort: wie bouwplannen heeft, kan die maar beter snel indienen","AD/Algemeen Dagblad.nl, 461 words",,2/12/2021
Nieuwe politieke partij Loon op Zand: Toekomstig KLM,"AD/Algemeen Dagblad.nl, 301 words",,2/12/2021
"Rondje wandelen door Zonderwijk in Veldhoven, als voorbereiding op de alles verbeterende Omgevingswet","AD/Algemeen Dagblad.nl, 624 words",,5/12/2021
Noodkreet om woningbouw Minister past nieuwe Omgevingswet niet aan,"De Telegraaf, FINANCIEEL; Blz. 19, 400 words",,6/12/2021
Raad van State: mocht Boekels college vergunning verlenen aan boerin Steffi Verhagen,"AD/Algemeen Dagblad.nl, 465 words",,6/12/2021
Twijfel mag niet,"De Telegraaf, BINNENLAND; Blz. 2, 212 words",,7/12/2021
Einde van een tijdperk: wethouder Schoonderwoerd stapt na 25 jaar uit de politiek,"AD/Algemeen Dagblad.nl, 213 words",,7/12/2021
Mook wil voorbereiding woningbouw Molenhoek versnellen,"AD/Algemeen Dagblad.nl, 347 words",,8/12/2021
De Eerste Kamer is nogal modern als het gaat om het digitaliseren van de democratie,"De Volkskrant.nl, 679 words",,8/12/2021
Voor de Eerste Kamer hoef je het huis niet uit,"de Volkskrant, Ten Eerste; Blz. 9, 693 words",,9/12/2021
Zonder goed gesprek met de buurt wordt er niet eens gekeken naar de aanvraag voor een zonnepark of woningbouw,"AD/Algemeen Dagblad.nl, 612 words",,13/12/2021
"Ado bouwde op zijn elfde zijn eerste volière, maar de vogeltuin moet nu weg: ‘Dit is mijn levenswerk’","AD/Algemeen Dagblad.nl, 748 words",,14/12/2021
"Woningmarkt oververhit, Nieuwegein zet plannen voor 3100 nieuwe woningen in ijskast: ‘Te veel tegelijk’","AD/Algemeen Dagblad.nl, 607 words",,24/12/2021
"Luisteren naar inwoners? Nijmegen faalt, schrijven wijkraden in teleurgestelde brief","AD/Algemeen Dagblad.nl, 406 words",,26/12/2021
Bewoners Breda sneller betrokken bij plaatsen laadpaal: ‘Mensen voelen zich overvallen’,"AD/Algemeen Dagblad.nl, 261 words",,27/12/2021
Een bouwvergunning in Meierijstad? Dat kan nog wel even duren...,"AD/Algemeen Dagblad.nl, 353 words",,28/12/2021
"TopParken stopt met verhuur van jacuzzi’s bij vakantiehuisjes, want dit treffen zij aan in het water","AD/Algemeen Dagblad.nl, 621 words",,29/12/2021
Theo Boerman over de ziekte van Parkinson: ‘Ik kan niet meer functioneren zoals ik van mezelf moet’,"AD/Algemeen Dagblad.nl, 1012 words",,6/1/2022
Nieuwkoop moet als een haas huizen gaan bouwen om achterstand in te halen: ‘College heeft zitten slapen’,"AD/Algemeen Dagblad.nl, 310 words",,12/1/2022
"Veldhoven over twintig jaar stads én dorps, als het aan gemeente ligt","AD/Algemeen Dagblad.nl, 436 words",,12/1/2022
BabyBoom: een gratis eigen appelboompje voor alle Bergse baby’s van 2022,"AD/Algemeen Dagblad.nl, 465 words",,12/1/2022
"De Oostlijn voldoet nog niet aan de eisen, maar blijkt wel veilig genoeg","AD/Algemeen Dagblad.nl, 529 words",,18/1/2022
Lopikse wethouder Gerrit Spelt (CDA) genomineerd als ‘beste lokale bestuurder’,"AD/Algemeen Dagblad.nl, 316 words",,19/1/2022
Een Goudse Ombudsman die in de bres springt bij klachten over gemeente? Nuttig of overbodig?,"AD/Algemeen Dagblad.nl, 569 words",,19/1/2022
Valkenswaard wil vaart maken met Eurocircuit; sneller op weg naar nieuw bestemmingsplan,"AD/Algemeen Dagblad.nl, 308 words",,20/1/2022
Kritiek op bouwplan Molenhoek: ‘Te haastig en te weinig huizen voor jongeren en ouderen’,"AD/Algemeen Dagblad.nl, 770 words",,26/1/2022
De Omgevingswet is een potentieel struikelblok voor minister De Jonge,"NRC.nl, 913 words",,27/1/2022
De Jonge wil vaart maken met bekritiseerde wet,"NRC, BINNENLAND; Blz. 10, 953 words",,28/1/2022
De Jonge wil vaart maken met bekritiseerde wet,"NRC Handelsblad, BINNENLAND; Blz. 10, 953 words",,28/1/2022
"Waalwijk, Heusden en Loon op Zand financieel prima op orde: ‘Maar de uitdagingen zijn groot’","AD/Algemeen Dagblad.nl, 346 words",,28/1/2022
Als je een betaalbaar huis zoekt in Utrecht kun je dit maar beter niet lezen,"AD/Algemeen Dagblad.nl, 1288 words",,29/1/2022
VLP-plan voor Groot Visdonk in de koelkast,"AD/Algemeen Dagblad.nl, 288 words",,31/1/2022
No Headline In Original,"NRC, OPINIE; Blz. 17, 686 words",,31/1/2022
No Headline In Original,"NRC Handelsblad, OPINIE; Blz. 17, 686 words",,31/1/2022
Omgevingswet opnieuw uitgesteld,"NRC.nl, 514 words",,1/2/2022
"De Jonge stelt invoering Omgevingswet uit, ditmaal vanwege ict-problemen","De Volkskrant.nl, 329 words",,1/2/2022
Omgevingswet wordt weer opgeschoven Bedrijven spoor bijster in 'eenvoudig' digitaal loket,"De Telegraaf, FINANCIEEL; Blz. 23, 463 words",,2/2/2022
Omgevingswet voor derde keer in twee jaar uitgesteld,"NRC Handelsblad, IN HET NIEUWS; Blz. 2, 498 words",,2/2/2022
Omgevingswet voor derde keer in twee jaar uitgesteld,"NRC, IN HET NIEUWS; Blz. 2, 497 words",,2/2/2022
Minister De Jonge stelt cruciale Omgevings-wet weer uit,"de Volkskrant, Ten Eerste; Blz. 9, 250 words",,2/2/2022
Vergunning nodig voor een uitbouw in Noordoost-Twente? ‘Aanvraag wordt straks eenvoudiger’,"AD/Algemeen Dagblad.nl, 532 words",,2/2/2022
Hebben vastgoedbazen vrij spel in Deventer? ‘Regels gemeente bieden veel te veel ruimte’,"AD/Algemeen Dagblad.nl, 667 words",,3/2/2022
Hoe burgers de bouw van nieuwe huizen vaak zelf vertragenr,"De Volkskrant.nl, 715 words",,3/2/2022
Brieven,"De Telegraaf, WATUZEGT; Blz. 16, 1144 words",,3/2/2022
Hoe burgers de bouw van nieuwe huizen vaak zelf vertragen,"de Volkskrant, Ten Eerste; Blz. 9, 727 words",,4/2/2022
Ambtenaren waren zó moe dat bericht over ‘groene vinkje’ is vergetenr,"AD/Algemeen Dagblad.nl, 738 words",,6/2/2022
Omgevingswet Alweer uitstel - denk er nog eens goed over na Brieven,"NRC, OPINIE; Blz. 17, 389 words",,7/2/2022
Omgevingswet Alweer uitstel - denk er nog eens goed over na Brieven,"NRC Handelsblad, OPINIE; Blz. 17, 389 words",,7/2/2022
"Snippergroen-slachtoffers lijken tuinen toch af te moeten breken: ‘Heel treurig, maar we kunnen niet anders’","AD/Algemeen Dagblad.nl, 564 words",,8/2/2022
Kan Loon op Zand zelfstandig blijven? Over twee jaar weten we het: politiek stelt vier voorwaarden,"AD/Algemeen Dagblad.nl, 734 words",,9/2/2022
Omgevingswet onder vuur: ict-systeem werkt van geen kanten,"De Volkskrant.nl, 738 words",,11/2/2022
Omgevingswet onder vuur: ict-systeem werkt van geen kanten,"de Volkskrant, Ten Eerste; Blz. 14, 429 words",,12/2/2022
De Omgevingswet is een Wet van Alles voor de ruimtelijke ordening – maar komt die er nog wel?,"De Volkskrant.nl, 4150 words",,12/2/2022
De Wet van Alles of Niets,"de Volkskrant, Zaterdag; Blz. 6, 7, 8, 9, 4126 words",,12/2/2022
"Stadsbestuur in Helmond knokte zich door de crisis, maar had zich ook meer mogen laten zien en horen","AD/Algemeen Dagblad.nl, 841 words",,14/2/2022
Bestuurlijk armpje drukken: Amstelveen en ministerie ruziën over studentenwoningen onder vliegroute,"De Volkskrant.nl, 1088 words",,14/2/2022
De salami-tactiek in Nederland: steeds een stuk natuur erbij pikken,"NRC.nl, 1706 words",,14/2/2022
"En daar gaat de vrije natuur, plakje voor plakje","De Volkskrant.nl, 591 words",,15/2/2022
In Druten regelen ze het wel – zonder de landelijke politiek,"NRC.nl, 1407 words",,15/2/2022
De gemeente Amstelveen sleept de staat voor de rechter,"de Volkskrant, Ten Eerste; Blz. 8, 1059 words",,15/2/2022
De salami-tactiek: steeds stuk natuur erbij pikken,"NRC Handelsblad, BINNENLAND; Blz. 10, 1781 words",,15/2/2022
De salami-tactiek: steeds stuk natuur erbij pikken,"NRC, BINNENLAND; Blz. 10, 1781 words",,15/2/2022
"En daar gaat de vrije natuur, plakje voor plakje","de Volkskrant, Ten Eerste; Blz. 2, 601 words",,16/2/2022
In Druten regelen ze het wel - zonder de landelijke politiek,"NRC Handelsblad, BINNENLAND; Blz. 10, 1478 words",,16/2/2022
In Druten regelen ze het wel - zonder de landelijke politiek,"NRC, BINNENLAND; Blz. 10, 1478 words",,16/2/2022
Amsterdam wacht niet op nieuwe regels voor bouw windmolens,"AD/Algemeen Dagblad.nl, 495 words",,17/2/2022
Cees ‘kort en krachtig’ van Hoof na 16 jaar uit raad Hilvarenbeek. ‘Niet iedereen kan zijn zin krijgen’,"AD/Algemeen Dagblad.nl, 814 words",,27/2/2022
Omwonenden Van der Valk Hotel Vught sceptisch over nieuwbouwplan: ‘Wat wordt er met onze inbreng gedaan?’,"AD/Algemeen Dagblad.nl, 438 words",,28/2/2022
Breda maakt zich sterk voor belangen scouts: ‘We houden er rekening mee’,"AD/Algemeen Dagblad.nl, 331 words",,1/3/2022
Berg en Dalse politiek wil teugels aantrekken: ‘Handen af van de stuwwal’,"AD/Algemeen Dagblad.nl, 441 words",,3/3/2022
"Raadslid zijn, is dat écht kilometers papier lezen en je privéleven opgeven? ‘Cafeïne is m’n beste vriend’","AD/Algemeen Dagblad.nl, 986 words",,5/3/2022
Zundertse politiek was er één van aanpakken deze vier jaar,"AD/Algemeen Dagblad.nl, 929 words",,6/3/2022
"Geen geld, dus wordt besluit over spoorzone Rijen over verkiezingen heen getild","AD/Algemeen Dagblad.nl, 445 words",,7/3/2022
Nieuwe scholen en inlossen van beloftes: nieuwe raad Loon op Zand moet aan de bak,"AD/Algemeen Dagblad.nl, 760 words",,7/3/2022
Verleng termijn van gemeenteraadsleden tot zes jaar,"NRC, OPINIE; Blz. 18, 853 words",,9/3/2022
Verleng termijn van gemeenteraadsleden tot zes jaar,"NRC Handelsblad, OPINIE; Blz. 18, 853 words",,9/3/2022
De Jonge kan veel minder dan hij wil,"NRC, IN HET NIEUWS; Blz. 4, 716 words",,12/3/2022
De Jonge kan veel minder dan hij wil,"NRC Handelsblad, IN HET NIEUWS; Blz. 4, 716 words",,12/3/2022
De Jonge kan veel minder dan hij wil,"NRC.nl, 692 words",,12/3/2022
Verplicht afval scheiden? Daar doen Twentse bedrijven niet aan mee: ‘Onbegrijpelijk’,"AD/Algemeen Dagblad.nl, 1601 words",,13/3/2022
"Nieuw appartementencomplex in Kampen is massieve ‘muur’, vindt buurt: ‘We gaan de ring in’","AD/Algemeen Dagblad.nl, 774 words",,15/3/2022
Dura Vermeer wil spoedwetgeving om sneller woningen te kunnen bouwen,"De Volkskrant.nl, 834 words",,21/3/2022
Bouwbedrijf maant minister De Jonge tot spoedwetgeving,"de Volkskrant, Economie; Blz. 21, 790 words",,22/3/2022
Batenburger mag toch paarden in schuur bij huis houden,"AD/Algemeen Dagblad.nl, 189 words",,25/3/2022
Kritiek op geplande woonwijken onder rook van Schiphol: ‘Elders bouwen of laat luchthaven krimpen’,"AD/Algemeen Dagblad.nl, 344 words",,26/3/2022
"Provincie dreigt met ingrijpen, want bouw turbines komt in Twente niet van de grond","AD/Algemeen Dagblad.nl, 396 words",,28/3/2022
Advies: huidige coalitie in Altena kan door,"AD/Algemeen Dagblad.nl, 301 words",,31/3/2022
Van ‘geen ervaring’ tot ‘comeback kid’: dit zijn de nieuwe jonge gezichten in de Drimmelense raad,"AD/Algemeen Dagblad.nl, 733 words",,31/3/2022
Eindhovense wethouder Torunoglu blij met ambities woningbouw maar waakt voor bureaucratie in de praktijk,"AD/Algemeen Dagblad.nl, 474 words",,2/4/2022
Giel Janssen mag door als formateur in zijn ‘oude gemeente’ Halderberge,"AD/Algemeen Dagblad.nl, 480 words",,5/4/2022
Meepraten over de toekomst van Dongen,"AD/Algemeen Dagblad.nl, 169 words",,7/4/2022
Bewoners De Grote Enk eisen meer inspraak over nieuwe wijk Zijdekwartier in Arnhem : 'Gemeente zet ons weg als hobbel tegen hoogbouw’,"AD/Algemeen Dagblad.nl, 830 words",,12/4/2022
Wonen in de kerk in Hulten? Als het aan de eigenaar ligt komen er appartementen in,"AD/Algemeen Dagblad.nl, 514 words",,15/4/2022
Raad van State worstelt met enorme toename van bezwaren tegen bouwplannen,"De Volkskrant.nl, 479 words",,19/4/2022
Bouwprojecten vertraagd doordat burgers veel vaker protest aantekenen bij hoogste rechter,"NRC.nl, 292 words",,19/4/2022
Raad van State worstelt met forse toename bezwaren bouwplannen,"de Volkskrant, Ten Eerste; Blz. 12, 437 words",,20/4/2022
"Eindhoven onder verscherpt toezicht provincie, politiek niet geïnformeerd","AD/Algemeen Dagblad.nl, 525 words",,21/4/2022
Dit is waarom je langer moet wachten op bouwaanvragen in Woerden en Oudewater,"AD/Algemeen Dagblad.nl, 327 words",,22/4/2022
Miljoenendeal: Libéma aast op grond Brabanthallen,"AD/Algemeen Dagblad.nl, 604 words",,22/4/2022
Minister: machtsmiddel pas op laatst inzetten,"De Telegraaf, FINANCIEEL; Blz. 37, 289 words",,23/4/2022
"College, ga in gesprek met bewoner Opinie 010 Advies voor nieuw college: werk samen met bewoners, zorg voor 'burgermacht' Opinie 010","NRC, ROTTERDAM; Blz. 1, 878 words",,23/4/2022
"College, ga in gesprek met bewoner Opinie 010 Advies voor nieuw college: werk samen met bewoners, zorg voor 'burgermacht' Opinie 010","NRC Handelsblad, ROTTERDAM; Blz. 1, 878 words",,23/4/2022
Veel te weinig ambtenaren',"De Telegraaf, REGIO; Blz. 12, 291 words",,29/4/2022
Oisterwijk kan tegenvallers opvangen: ‘Lastenverhogingen niet nodig’,"AD/Algemeen Dagblad.nl, 304 words",,29/4/2022
Burgerberaad kost te veel tijd en geld; college Eindhoven wil voorlopig geen nieuwe inspraakvorm,"AD/Algemeen Dagblad.nl, 554 words",,4/5/2022
Michiel Alexander de Raaf nieuwe wethouder namens Samen Sterk Maasdriel,"AD/Algemeen Dagblad.nl, 308 words",,12/5/2022
"‘Woerden had toezicht op sloop stadhuis, waarbij een dode viel, nooit mogen uitbesteden’","AD/Algemeen Dagblad.nl, 638 words",,13/5/2022
Geen woningbouw onder vliegroute Schiphol; ambitieus huisvestingsplan van tafel,"De Volkskrant.nl, 694 words",,18/5/2022
Verwijten vliegen over en weer bij bespreking coalitieakkoord Dongen,"AD/Algemeen Dagblad.nl, 480 words",,20/5/2022
Vage taal in Twentse collegeakkoorden: Wie maakt er chocola van?,"AD/Algemeen Dagblad.nl, 399 words",,29/5/2022
"Een frisse nieuwe wethoudersploeg in Oosterhout, maar waar zijn de vrouwen?","AD/Algemeen Dagblad.nl, 492 words",,31/5/2022
"Someren bouwt veel meer, dus is er extra personeel nodig om alle aanvragen te kunnen verwerken","AD/Algemeen Dagblad.nl, 399 words",,2/6/2022
College houdt hand op de knip: ‘Wereldwijde economische ontwikkelingen gaan ook Oldenzaal raken’,"AD/Algemeen Dagblad.nl, 443 words",,2/6/2022
Zonnepanelen op woningen in Tuindorp Hengelo; gaan brutale bewoners gewoon vrijuit?,"AD/Algemeen Dagblad.nl, 563 words",,7/6/2022
Portefeuilles bekend: dit gaan de vier wethouders in Bernheze doen r,"AD/Algemeen Dagblad.nl, 292 words",,8/6/2022
Klokkenluiders: ambtenaren geïntimideerd en op non-actief gesteld na kritiek op Omgevingswet,"De Volkskrant.nl, 718 words",,9/6/2022
Ministerie van Binnenlandse Zaken drukte kritiek op Omgevingswet de kop in,"NRC.nl, 586 words",,9/6/2022
Hopelijk redden dappere klokkenluiders en de Eerste Kamer ons van dit monster: de Omgevingswet,"De Volkskrant.nl, 961 words",,10/6/2022
Binnenlandse Zaken drukte kritiek op wet de kop in,"NRC, IN HET NIEUWS; Blz. 2, 509 words",,10/6/2022
Hopelijk redden dappere klokkenluiders en de Eerste Kamer ons van dit monster: de Omgevingswet,"de Volkskrant, Zaterdag; Blz. 16, 919 words",,11/6/2022
Veldhoven experimenteert met inspraak in Zonderwijk,"AD/Algemeen Dagblad.nl, 438 words",,13/6/2022
Bewoners voelen zich overvallen en ‘in de maling genomen’ door plan voor 150 ‘flexwoningen’ in Presikhaaf,"AD/Algemeen Dagblad.nl, 1033 words",,13/6/2022
Uiterlijk 7 juli staan er in Kampen vijf wethouders op het ‘bordes’,"AD/Algemeen Dagblad.nl, 364 words",,15/6/2022
Adviesraad: ‘regie’ van De Jonge op de woningmarkt is te vrijblijvend,"NRC.nl, 919 words",,15/6/2022
Tegelpolitie voor tuinen in Utrechtse Heuvelrug? Gemeente gaat voor regels voor groenere tuinen,"AD/Algemeen Dagblad.nl, 606 words",,16/6/2022
"Regie De Jonge is te vrijblijvend' Woningmarkt De Jonge heeft ,,extra stokken achter de deur nodig"" voor zijn beleid, zegt adviescommissie","NRC, ECONOMIE; Blz. 1, 967 words",,16/6/2022
"Ruim 3,9 miljoen overschot in Woensdrecht over 2021: ‘Gelukkig weer wat vet op de botten’","AD/Algemeen Dagblad.nl, 472 words",,17/6/2022
"Den Bosch heeft haast met bouwplannen, maar: ‘De zorgvuldigheid staat onder druk’","AD/Algemeen Dagblad.nl, 854 words",,21/6/2022
De Omgevingswet gaat uw leven raken. Wat is dit voor wet?,"De Volkskrant.nl, 849 words",,28/6/2022
Eerste Kamer geeft groen licht voor ‘grootste wetgevingsoperatie sinds Tweede Wereldoorlog’,"De Volkskrant.nl, 471 words",,28/6/2022
"‘Boxtel is een beetje grijzig, maar als je goed kijkt zie je veel dierbaars’","AD/Algemeen Dagblad.nl, 789 words",,28/6/2022
Eerste Kamer geeft groen licht voor 'grootste wetgevingsoperatie sinds de Tweede Wereldoorlog',"de Volkskrant, Ten Eerste; Blz. 2, 454 words",,29/6/2022
"Niks geen schoon water, maar verontreinigd afvalwater in tanks Vion, nieuwe aanvraag verplicht","AD/Algemeen Dagblad.nl, 493 words",,30/6/2022
In het Zundertse buitengebied slaan ze de handen ineen,"AD/Algemeen Dagblad.nl, 447 words",,6/7/2022
"Utrecht wil drie keer zoveel zonne-energie opwekken in 2030, ook verplichten wordt een optie","AD/Algemeen Dagblad.nl, 320 words",,7/7/2022
Nu noodwet nodig tegen regelgeving,"De Telegraaf, WATUZEGT; Blz. 17, 193 words",,7/7/2022
